Họ tên,Mã NV,Team,Email,Trạng thái,Vai trò,Mật khẩu
Nguyễn Văn A,MAC001,#1 La Bàn,nguyenvana@macusaone.com,Hoạt động,,
Trần Thị B,MAC002,#1 La Bàn,tranthib,Hoạt động,,
Lê Văn C,MAC003,#2 Hải Đồ,levanc@macusaone.com,Hoạt động,,
Phạm Thị D,MAC004,#3 Đèn Hiệu,phamthid,Hoạt động,,
Hoàng Văn E,MAC005,#4 Viking,hoangvane@macusaone.com,Hoạt động,,
Vũ Thị F,MAC006,#5 Sao Bắc Cực,vuthif,Hoạt động,,
Đặng Văn G,MAC007,#6 Hải Đăng,dangvang@macusaone.com,Hoạt động,,
Ngô Thị H,MAC008,#2 Hải Đồ,ngothih,Không hoạt động,,
Trần Văn BTC,MAC100,#7 Hoa tiêu,tranvanbtc,Hoạt động,BTC,
Lê Thị Super,MAC101,#7 Hoa tiêu,lethisuper@macmarketing.vn,Hoạt động,Super admin,
